Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2027.56,1563.02,0,781241.8,0,42,31
2120.32,118.06,0,3696.2,0,161,1
2160.92,202.19,0,10658.13,0,303,3
2172.45,166.42,0,7284.44,0,316,2
2196.3,247.08,0,12577.35,0,352,4
2343.56,112.46,0,3032.08,0,257,1
2432.42,428.66,0,30298.64,0,296,8
2455.87,193.69,0,12956.06,0,245,3
2473,125.81,0,4642.89,0,263,2
2488.51,137.65,0,6177.03,0,225,2
2602.22,163.2,0,8205.98,0,311,2
2780.32,114.9,0,4732.49,0,269,1
2918.46,149.44,0,7287.48,0,309,2
2933.89,120.41,0,4545.72,0,260,1
3123.78,186.41,0,14228.75,0,240,3
3821.98,196.48,0,11924.03,0,353,3
4075.49,175.05,0,23031.05,0,144,3
4942.56,154.52,0,9809.86,0,322,2
6097.27,180.18,0,23221.35,0,192,3
