Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2027.65,1648.04,0,825191.91,0,42,35
2160.34,184.5,0,8870.93,0,313,3
2172.16,135.21,0,5022.07,0,313,2
2195.83,226.69,0,11014.07,0,351,4
2432.49,383.19,0,24407.21,0,323,7
2455.81,141.01,0,8729.65,0,211,2
2472.81,115.68,0,3415.15,0,306,2
2487.9,133.14,0,6725.57,0,197,2
2601.86,139.1,0,5718.42,0,332,2
2778.79,106.34,0,2505.8,0,271,1
3124.24,161.52,0,10384.16,0,256,3
3821.24,190.98,0,11176.06,0,358,3
4081.36,169.52,0,11834.8,0,278,3
4941.76,156.61,0,9592.42,0,340,2
6095.5,122.88,0,9644.7,0,187,2
