Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.89,388.5,0,187469.36,0,39,10
2085.94,147.38,0,6510.04,0,23,3
2104.42,108.48,0,2007.13,0,292,2
2157.02,163.42,0,5957.53,0,389,3
2192.51,162.7,0,5869.34,0,405,3
2428.52,373.74,0,21908.11,0,347,9
2452.02,118.43,0,4455.03,0,193,2
2597.62,114.7,0,2628.1,0,365,2
2913.5,121.61,0,4224.96,0,321,2
3815.14,136.78,0,5705.41,0,392,3
4059.16,153.06,0,12291.6,0,143,3
4073,119.95,0,6725.19,0,131,2
5655.6,218.39,0,30989,0,176,5
6084.27,523.52,0,78590.88,0,240,13
6884.25,144.23,0,13694.73,0,235,3
