Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.53,534.51,0,284567.07,0,36,12
2104.37,125.13,0,4652.32,0,256,2
2157.33,155.55,0,6136.78,0,350,3
2192.72,147.85,0,5442.92,0,358,3
2428.72,359.09,0,22091.83,0,333,8
2451.4,149.2,0,9937.78,0,214,3
2483.68,106.71,0,2180.87,0,223,2
2597.62,118.47,0,3351.96,0,339,2
2913.69,106.39,0,2507.76,0,274,2
3118.46,123.02,0,5984.15,0,249,2
3815.08,165.66,0,8348.24,0,385,3
4063.93,226.58,0,35038.05,0,142,4
4933.85,117.67,0,5147.15,0,311,2
5657.91,290.97,0,56863.85,0,150,6
6084.34,729.78,0,131111.91,0,207,16
6885.36,234.26,0,34413.06,0,208,5
12153.5,120.88,0,14754.15,0,185,2
