Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.8,690.06,0,363624.45,0,40,15
2106.51,138.43,0,5746.31,0,19,2
2117.96,113.78,0,3172.11,0,264,2
2159.61,175.59,0,7218.95,0,357,3
2194.83,172.76,0,7429.72,0,356,3
2431.35,373.1,0,24143.71,0,314,8
2454.57,150.47,0,8592.31,0,247,2
2486.59,111.94,0,4173.26,0,213,2
2600.82,125.11,0,4217.08,0,340,2
2917.2,115.2,0,4409.58,0,271,2
3122.57,138.68,0,7151.65,0,275,2
3819.31,153.29,0,7767.39,0,360,3
4069.49,167.35,0,26388.89,0,133,3
4939.56,108.32,0,3377.8,0,313,2
5659.35,106.89,0,4714.3,0,149,1
6091.75,382.97,0,59415.85,0,217,8
