Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.63,788.41,0,418450.19,0,40,15
2102.73,189.44,0,18287.25,0,137,3
2118.18,133.65,0,6479.6,0,240,2
2134.62,114.23,0,2631.38,0,257,1
2159.74,173.55,0,8114.02,0,322,3
2195.07,222.69,0,9993.31,0,384,4
2318.59,119.04,0,3506.08,0,336,1
2341.07,112.03,0,3676.28,0,267,1
2431.25,488.66,0,33745.39,0,308,9
2453.75,199.78,0,15399.17,0,216,3
2486.94,132.83,0,5882.39,0,185,2
2600.73,173.75,0,8377.26,0,339,3
2779.44,124.97,0,5911.05,0,253,2
2917.03,199.1,0,11995.58,0,311,3
2931.83,111.38,0,3109.36,0,111,1
3122,153.61,0,9669.09,0,254,2
3819.44,180.33,0,9928.56,0,373,3
4070.01,188.67,0,31101.23,0,138,3
4938.99,134.69,0,7202.57,0,331,2
5662.02,155.71,0,20622.23,0,153,2
6092.78,469.18,0,77242.77,0,211,9
6893.57,134.05,0,13164.21,0,202,2
