Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.99,615.28,0,343234.15,0,36,10
2104.65,129.32,0,4378.71,0,19,1
2115.77,120.76,0,4287.63,0,255,1
2428.49,268.08,0,15705.15,0,322,4
2452.01,134.5,0,7045.68,0,215,2
3774.03,144.87,0,17782.77,0,129,2
3814.14,119.27,0,4740.35,0,318,1
4062.92,281.59,0,46368.41,0,140,4
4592.02,134.15,0,9732.83,0,208,1
5657,568.43,0,138879.28,0,142,10
6083.4,913.91,0,187326.71,0,183,16
6884.36,344.53,0,65143.07,0,185,5
11291.66,105.38,0,8585.92,0,143,1
12150.92,160.45,0,30399.95,0,172,2
