Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.98,746.01,0,417782.83,0,36,14
2103.26,142.98,0,8698.48,0,19,2
2116.04,118.2,0,5911.84,0,180,1
2131.46,167.11,0,7746,0,296,2
2156.4,113.21,0,3146.53,0,319,1
2192.23,146.6,0,5543.48,0,344,2
2292.46,113.75,0,3276.28,0,293,1
2428.04,269.75,0,17649.72,0,295,4
2451.74,181.58,0,12259.92,0,223,3
2597.61,117.53,0,3347.91,0,326,1
2912.88,104.49,0,2373.91,0,243,1
3769.68,111.79,0,4702.16,0,114,1
3814.07,114.77,0,3601.53,0,340,1
4063.57,226.83,0,39183.56,0,133,3
4592.08,107.87,0,4611.09,0,183,1
5657.56,337.36,0,77201.81,0,135,6
6084.74,630.81,0,125928.32,0,182,11
6885.24,246.39,0,43268.96,0,178,4
