Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.64,577.39,0,300605.67,0,39,12
2104.05,125.29,0,4619.19,0,262,2
2115.99,115.58,0,3753.54,0,260,2
2157.28,183.6,0,8176.06,0,347,3
2192.68,160.55,0,5918.48,0,377,3
2428.52,454.07,0,26935.49,0,351,9
2450.97,160.7,0,10851.01,0,218,3
2484.19,122.87,0,4327.95,0,281,2
2597.61,112.24,0,2804.83,0,325,2
3118.81,124.54,0,5922.7,0,240,2
3814.91,176.39,0,9354.64,0,382,3
4063.97,213.32,0,33352.69,0,139,4
4933.36,131.82,0,6742.87,0,345,2
5655.59,270.31,0,45739.07,0,165,5
6083.74,647.1,0,109597.26,0,216,14
6883.91,218,0,29872.5,0,216,4
