Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.76,536.73,0,282713.23,0,36,12
2104.69,138.59,0,5950.35,0,146,2
2157.42,154.47,0,5656.82,0,373,3
2192.99,170.69,0,6818.35,0,379,3
2429.15,395.28,0,24178.68,0,332,9
2451.72,157.95,0,10554.51,0,225,3
2484.49,107,0,2398.33,0,170,2
2598.39,145.21,0,5568.44,0,364,3
2914.63,117.79,0,3675.35,0,293,2
3119.31,129.93,0,6591.03,0,267,2
3815.95,158.73,0,7844.14,0,384,3
4065.39,172.93,0,26580.82,0,137,3
4934.66,115.06,0,4175.89,0,346,2
5653.44,145.51,0,12823.5,0,166,3
6086.08,483.56,0,74200.4,0,227,11
6885.62,122.32,0,9025.57,0,227,2
