Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.34,459.03,0,231205.18,0,40,12
2087.63,130.51,0,5077.29,0,22,3
2159.49,165.43,0,6639.53,0,356,4
2195.02,140.02,0,5016.8,0,359,3
2431.17,352.48,0,22253.26,0,319,9
2453.41,128.99,0,7338.76,0,212,3
3122.23,116.79,0,4411.02,0,246,2
3819.44,147.36,0,7054.44,0,372,3
4068.67,174.99,0,25844.58,0,139,4
4938.9,115.31,0,4396.25,0,335,2
5663.08,281.49,0,50544.05,0,158,7
6090.72,520.74,0,84955.14,0,216,14
6891.54,163.76,0,18792.35,0,217,4
