Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.34,700.2,0,404442.06,0,35,13
2105.1,116.02,0,4632.7,0,17,1
2115.38,137.71,0,6238.48,0,213,2
2193.87,130.27,0,4405.6,0,334,2
2317.2,107.51,0,2089.88,0,297,1
2429.82,170.65,0,8996.04,0,297,2
2453.91,116.65,0,4326.91,0,235,1
3456.54,136.47,0,7660.69,0,255,2
3817.3,115.69,0,3782.14,0,369,1
4068.85,149.55,0,22535.41,0,135,2
5660.11,166.18,0,25320.14,0,143,2
6088.86,355.88,0,56731.12,0,206,6
6889.28,126.21,0,10787.74,0,201,2
