Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.29,1187.61,0,685598.14,0,38,23
2117.63,162.96,0,10467.18,0,17,2
2158.17,115.6,0,3727.69,0,234,1
2171.09,121.53,0,3315.13,0,372,1
2194.61,137.26,0,5415.2,0,255,2
2318.94,115.98,0,4088.38,0,274,1
2340.24,123.45,0,4695.33,0,234,2
2430.75,147.04,0,7112.69,0,292,2
2454.48,176.7,0,10073.34,0,287,3
3819.88,114.47,0,3279.34,0,401,1
4071.33,143.68,0,20006.48,0,140,2
4305.66,153.4,0,8981.8,0,322,2
4373.7,236.53,0,16285.93,0,357,4
5659.55,119.32,0,9624.03,0,122,1
6093.63,243.61,0,36713.6,0,194,4
