Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.47,1218.54,0,709587.38,0,37,21
2117.79,149.33,0,9905.14,0,16,2
2194.41,112.25,0,2920.65,0,311,1
2339,112.99,0,3353.18,0,225,1
2430.91,118.65,0,4761.47,0,275,1
2454.74,142.79,0,6877.87,0,259,2
4071.28,128.1,0,17718.25,0,135,1
4111.61,130.45,0,7057.98,0,197,1
4308.06,341.63,0,35546.74,0,296,5
4326.1,103.75,0,3770.93,0,65,1
4374,239.79,0,17294.17,0,342,3
5661.78,118.97,0,11334.19,0,103,1
5680.33,103.26,0,5395.3,0,94,1
6094.7,238.61,0,37291.99,0,184,3
