Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.97,1210.37,0,711345.7,0,35,21
2114.81,181.61,0,11123.98,0,238,2
2133.07,132.38,0,5156.37,0,252,1
2157.76,128.76,0,4748.88,0,199,1
2169.52,157.96,0,6556.25,0,324,2
2193.11,179.56,0,7646.54,0,369,2
2316.61,130.35,0,5326.91,0,218,1
2338.88,109.99,0,2889.77,0,282,1
2428.92,205.7,0,12086.99,0,294,3
2453.28,161.85,0,8627.8,0,273,2
3120.73,120.01,0,4379.3,0,307,1
3456.08,129.83,0,6348.44,0,297,1
3816.5,143.62,0,5969.77,0,405,2
4075.69,144.5,0,7606.45,0,327,2
