Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.71,841.98,0,487850.9,0,35,14
2104.91,128.8,0,6082.22,0,19,1
2116.77,140.46,0,7863.98,0,203,2
2134.4,118.27,0,3351.84,0,314,1
2158.5,112.59,0,2370.16,0,276,1
2194.39,129.39,0,4657.81,0,292,1
2430.4,204.36,0,11622.55,0,304,3
2455.07,128.32,0,5586.52,0,241,1
3456.46,111.92,0,4214.52,0,173,1
3771.96,105.91,0,2901.22,0,139,1
4068.97,170.57,0,28332.51,0,131,2
5663.99,286.5,0,59851.4,0,139,4
6090.88,459.05,0,81807.53,0,199,7
6892.36,154.89,0,18997.63,0,189,2
