Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.33,1940.58,0,1041165.94,0,35,32
2089.72,836.63,0,117287.01,0,23,13
2125.16,126.58,0,10070.37,0,15,1
2169.33,1368.64,0,101224.97,0,361,22
2190.84,258.66,0,17707.13,0,276,3
2206.91,145.5,0,6391.9,0,300,1
2317.5,114.88,0,3580.96,0,184,1
2337.82,125.08,0,4191.77,0,273,1
2428.98,192.52,0,10522.92,0,305,2
2452.47,155.56,0,8625.06,0,250,2
3455.05,130.44,0,7115.49,0,183,1
3815.57,118.9,0,3811.3,0,361,1
4067.43,183.03,0,29021.33,0,133,2
4934.99,110.24,0,4049.97,0,276,1
6088.81,310.47,0,55274.74,0,182,4
