Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.76,1103.66,0,655041.77,0,35,22
2115.37,159.52,0,8989.51,0,17,2
2157.86,113.8,0,3255.48,0,264,1
2193.66,155.3,0,5846.5,0,373,2
2317.65,114.26,0,3036.26,0,254,1
2430.03,184.65,0,9144.13,0,333,3
2454.32,147.37,0,6489.69,0,302,2
3817.72,128.99,0,5202.23,0,362,2
4068.87,182.11,0,29972.64,0,137,3
4303.38,147.24,0,8381.15,0,323,2
4371.8,157.72,0,8473.48,0,372,2
4936.87,118.96,0,5717.72,0,276,1
5661.69,151.57,0,23609.16,0,129,2
6090.37,363.34,0,59632.62,0,203,7
