Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2031.04,1096.4,0,636685.2,0,37,22
2117.38,146.58,0,8302.6,0,187,2
2195.11,115.19,0,3516.34,0,282,1
2431,155.5,0,7317.83,0,301,2
2454.74,121.51,0,5057.27,0,233,2
3457.62,107.7,0,2938.33,0,172,1
3819.09,110.2,0,2886.72,0,366,1
4069.1,174,0,26763.08,0,139,3
4305.2,131.98,0,6159.34,0,334,2
4373.96,216.16,0,14206.24,0,364,4
5665.06,238.2,0,48739.44,0,132,4
6091.89,398.03,0,69141.31,0,197,7
6893.02,139.83,0,15002.73,0,187,2
