Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.58,1306.67,0,746958.11,0,39,24
2117.44,131.52,0,10240.97,0,17,2
2158.13,113.52,0,4012.87,0,221,1
2171.4,192.03,0,8843.02,0,342,3
2194.8,127.86,0,4901.65,0,238,1
2318.75,129.7,0,5017.17,0,280,1
2431.18,151.14,0,8256.39,0,265,2
2455.21,151.42,0,7605.96,0,268,2
3819.52,117.09,0,4105.7,0,355,1
4070.37,177.33,0,29123.63,0,133,2
4306.23,243.86,0,19573.08,0,310,4
4374.35,233.95,0,17593.59,0,327,4
5667.71,277.8,0,65107.03,0,122,4
6093.69,438.73,0,80949.27,0,189,7
6894.96,127.6,0,13481.45,0,177,1
