Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.54,2154.08,0,1110172.28,0,38,36
2089.17,853.71,0,139015.26,0,23,14
2157.16,159.78,0,9801.94,0,217,2
2171.01,312.01,0,16154.5,0,360,4
2194.1,171.91,0,7390.46,0,346,2
2206.65,143.97,0,5590.61,0,343,2
2318.79,176.54,0,9522.48,0,287,2
2338.49,141.58,0,8129.83,0,220,1
2431.08,171.93,0,10796.85,0,243,2
2453.9,225.94,0,13487.82,0,304,3
2798.22,117.01,0,3413.09,0,317,1
3371.6,108.37,0,2518.67,0,310,1
3709.13,121.57,0,5851.93,0,258,1
4063.97,115.31,0,5084.97,0,131,1
4077.1,120.03,0,7212.59,0,133,1
4111.11,123.52,0,6655.71,0,183,1
4313.79,760.29,0,132778.12,0,293,12
4373.39,240.39,0,17743.19,0,337,3
4422.78,113.8,0,4162.21,0,293,1
4939.14,117.55,0,6621.91,0,232,1
6093.42,190.75,0,26684.82,0,186,2
